U1,U2
0.991973636462539,0.008026363537460873
0.9950158345688163,0.004984165431183741
0.9982382970201045,0.0017617029798955791
0.995540259836541,0.004459740163458922
0.9947678291523399,0.005232170847660264
0.9913075940943931,0.00869240590560689
0.9876207708828849,0.01237922911711516
0.9824670334970892,0.017532966502910797
0.9805373838938525,0.0194626161061474
0.9770484347058405,0.022951565294159537
0.972761441620088,0.027238558379912077
0.979966346061107,0.020033653938893052
0.9864926438983183,0.013507356101681708
0.9868740909458474,0.013125909054152632
0.9938582752921994,0.006141724707800618
0.9910727970838941,0.008927202916105874
0.99803102111142,0.0019689788885799532
0.9664455433038894,0.03355445669611057
0.8411650487802843,0.15883495121971564
0.8440204368554133,0.15597956314458683
0.9464418476823592,0.0535581523176408
0.05525924069878362,0.9447407593012164
0.0008227887913839852,0.999177211208616
0.0011990387806065884,0.9988009612193933
0.0012638838855061408,0.9987361161144939
0.0016680982243826967,0.9983319017756174
0.0018639124006238912,0.998136087599376
0.004387283001432432,0.9956127169985677
0.004789730662837313,0.9952102693371627
0.00745142552008096,0.9925485744799191
0.004228854516098418,0.9957711454839016
0.002695676677199756,0.9973043233228003
0.0017377212562236502,0.9982622787437763
0.0012727631811228779,0.9987272368188771
0.0008009051396393688,0.9991990948603606
0.0005863146334968274,0.9994136853665032
0.0007177234605166754,0.9992822765394833
0.0004055748016520807,0.999594425198348
0.000783444788625301,0.9992165552113748
0.001967327165744139,0.9980326728342559
0.982359723324895,0.017640276675104975
0.977133432097569,0.02286656790243097
0.9816491216182786,0.018350878381721517
0.9860596473546651,0.013940352645334868
0.9956132463210994,0.004386753678900598
0.9965517514141636,0.0034482485858364246
0.9895658634031743,0.010434136596825676
0.9850097204797136,0.014990279520286373
0.9762910389265506,0.023708961073449452
0.963677781378119,0.03632221862188105
0.9680514441629073,0.03194855583709257
0.9655207644069373,0.034479235593062575
0.9750330018349472,0.0249669981650528
0.9843407830160978,0.015659216983902154
0.9853954738111341,0.014604526188865982
0.9969570083979026,0.0030429916020974688
0.9989682841079275,0.001031715892072532
0.9726018095928609,0.027398190407139037
0.8312735979826272,0.16872640201737268
0.7222492656140908,0.27775073438590925
0.9993243685993317,0.000675631400668206
0.05518665900237928,0.9448133409976208
0.0034462979036097023,0.9965537020963903
0.002872815146314812,0.9971271848536852
0.0021337046614127993,0.9978662953385872
0.0006257275484663207,0.9993742724515338
